,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Verfügbarab,Balkon(e),Lift,AltesGebäude,ÖV-Haltestelle,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Nutzfläche,Baujahr,Aussenparkplatz,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,Kindergarten,Primarschule,Sekundarschule,Autobahn,Einstellplatz,Rollstuhlgängig,Minergie-zertifiziert,Cheminée,Kubatur,Hochparterre,Neubau,Wohnungen,Wasseranschluss,Toiletten,Mittelhaus,Möbliert,JährlicherMietpreisprom²,JährlicherMietpreisprom²(exkl.NK)
23001358,Wohnung,1395,1295,100,54,2.5,EG,sofort,1,1,,30m,430m,NaN,"Brünnenstrasse 43a, 3018 Bern",,bern,26.02.2020,54,,,,,1,220m,20m,,,1,,,,,,,,,,,,,
23007278,Wohnung,1200,,,25,1.5,,nachVereinbarung,,,,,,NaN,"Militärstrasse 41, 3014 Bern",23.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23001357,Wohnung,1410,1300,110,54,2.5,1.Stock,sofort,1,1,,30m,430m,NaN,"Brünnenstrasse 43a, 3018 Bern",,bern,26.02.2020,54,,,,1,1,220m,20m,,,,,,,,,,,,,,,,
23004647,Dachwohnung,1620,1500,120,,2.5,4.Stock,15.03.2020,,,,270m,230m,NaN,"Tellplatz 1, 3014 Bern",,bern,26.02.2020,,,,1,1,1,530m,430m,,950m,,,,,,,,,,,,,,
23008032,Wohnung,1430,,,50,2,1.Stock,15.04.2020,1,,,1100m,1000m,NaN,"Jurastrasse 99, 3013 Bern",,bern,26.02.2020,,,1,,,,,,,,,,,,,,,,,,,,,
23000701,Wohnung,1718,,,,3.5,,nachVereinbarung,,,,,,NaN,3008 Bern BE,21.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22996918,Wohnung,1480,1390,90,,3.5,2.Stock,01.04.2020,1,,,,,NaN,"Thüringstrasse 24, 3018 Bern",21.02.2020,bern,26.02.2020,,,,,1,1,,,,,,,,,,,,,,,,,,
23000224,Wohnung,725,,,,1,,nachVereinbarung,,,,,,NaN,3013 Bern BE,21.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22999678,Wohnung,2770,2500,270,117,4.5,6.Stock,01.06.2020,,,,,,3,"Scheuerrain 3, 3007 Bern",,bern,26.02.2020,,2003,,,,,,,,,,,,,,,,,,,,,,
23000765,Wohnung,1650,,,60,2.5,1.Stock,14.03.2020,1,1,,,,NaN,"Hochfeldstrasse 7, 3012 Bern",21.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23001261,Wohnung,1500,1315,185,50,2.5,3.Stock,15.03.2020,,1,,150m,150m,3,"Seidenweg 70, 3012 Bern",,bern,26.02.2020,,1979,,,,,,,,,,,,,,,,,,,,,,
22998916,Wohnung,1250,,,80,2.5,,15.04.2020,,,,,,NaN,"Roschistrasse, 1a, 3007 Bern",21.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22999554,Wohnung,870,770,100,25,1,,nachVereinbarung,1,1,,100m,100m,3,"Randweg 11, 3013 Bern",,bern,26.02.2020,,1971,,,1,,250m,,,,1,,,,,,,,,,,,,
22999694,Wohnung,730,600,130,,1,5.Stock,sofort,,1,,100m,500m,NaN,"Belpstrasse 41, 3007 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22999794,Wohnung,1450,1210,240,67,3,EG,01.06.2020,1,,,,,4,"Alemannenstrasse 46, 3018 Bern",21.02.2020,bern,26.02.2020,,1951,,,1,1,,,,,,,,,,,,,,,,,,
22996209,Wohnung,1760,1570,190,,3,,01.07.2020,1,,1,50m,500m,NaN,"Schlossstrasse 91, 3008 Bern",,bern,26.02.2020,,,,1,1,1,50m,500m,,1000m,,,,,,1,,,,,,,,
22995891,Wohnung,1060,950,110,,1,3.Stock,01.06.2020,,1,,300m,500m,NaN,"Brunngasse 12, 3011 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
18016327,Attika,1690,1550,140,,2.5,3.Stock,01.04.2020,1,,,100m,100m,NaN,"Unterer Aareggweg 5, 3004 Bern",,bern,26.02.2020,,,1,,,,,,,,,,,1,,,,,,,,,,
22996108,Dachwohnung,1200,930,270,60,2,4.Stock,01.05.2020,,,1,100m,100m,NaN,"Rodtmattstrasse 61, 3014 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22996914,Wohnung,1000,,,30,1,,sofort,,,,,,NaN,"Amthausgasse 1, 3011 Bern",21.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22996295,Wohnung,1750,1560,190,,3,2.Stock,15.05.2020,,,1,,,NaN,"Lilienweg 17, 3007 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23005365,Wohnung,1945,,,70,2.5,EG,01.04.2020,1,1,,150m,250m,4,"Holligenstrasse 17, 3008 Bern",21.02.2020,bern,26.02.2020,,2017,,1,1,,,,,,1,1,,,,,,,,,,,,
22996913,Wohnung,850,,,30,1,,sofort,,,,,,NaN,3006 Bern,21.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22995468,Wohnung,1660,,,,2.5,,nachVereinbarung,,,,,,NaN,3007 Bern BE,21.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22996912,Wohnung,1800,,,100,3.5,,sofort,,,,,,NaN,"Kirchenfeldquartier, 3005 Bern",21.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22992739,Dachwohnung,1705,1525,180,,2,2.Stock,01.05.2020,,,,,,NaN,"Brunngasse, 25, 3011 Bern",20.02.2020,bern,26.02.2020,60,,,,,,,,,,,,,,,,,,,,,,,
22992547,Wohnung,1520,,,,2,,nachVereinbarung,,,,,,NaN,3011 Bern BE,20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22992825,Wohnung,1450,,,,3,,nachVereinbarung,,,,,,NaN,3018 Bern BE,20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22993702,Studio,1060,950,110,,1.5,3.Stock,01.03.2020,,1,1,,,NaN,"Brunngasse 12, 3011 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22995364,Wohnung,1420,,,,2.5,,nachVereinbarung,,,,,,NaN,3007 Bern BE,21.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22999034,Wohnung,2200,1900,300,115,4.5,7.Stock,01.04.2020,1,1,,,,4,"Wankdorffeldstrasse 75, 3014 Bern",20.02.2020,bern,26.02.2020,,1965,,1,1,,,,,,,1,,,,,,,,,,,,
22992694,Wohnung,2630,2300,330,123,4.5,EG,sofort,,,,,,NaN,"Murtenstrasse 143 G, 3008 Bern",20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22992548,Wohnung,1700,,,,2,,nachVereinbarung,,,,,,NaN,3011 Bern BE,20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22992763,Wohnung,1550,1395,155,,3.5,5.Stock,01.05.2020,1,1,,120m,400m,NaN,"Murtenstrasse 7, 3008 Bern",,bern,26.02.2020,,,1,,1,,360m,320m,,,,,,,,,,,,,,,,
22992939,Wohnung,2500,,,,3,,nachVereinbarung,,,,,,NaN,3000 Bern BE,20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22991121,Wohnung,1390,1220,170,55,2.5,1.Stock,01.05.2020,,,,480m,790m,NaN,"Murifeldweg 59, 3006 Bern",,bern,26.02.2020,,,,,,,300m,1130m,,,,,,,,,,,,,,,,
22992542,Dachwohnung,330,,,,1,,nachVereinbarung,,,,,,NaN,3013 Bern BE,20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22990768,Wohnung,1250,,,50,2.5,,01.06.2020,,,,,,NaN,3006 Bern,20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22992695,Wohnung,1220,1050,170,40,2,5.Stock,01.05.2020,,,,,,NaN,"Murtenstrasse 143 B, 3008 Bern",20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22991787,Wohnung,1450,1250,200,,2,2.Stock,01.05.2020,1,,,1430m,410m,NaN,"Roschistrasse 8, 3007 Bern",,bern,26.02.2020,,,,1,,,2440m,,,,,,,,,,,,,,,,,
22992543,Wohnung,1300,,,,2.5,,nachVereinbarung,,,,,,NaN,3006 Bern BE,20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22992351,Wohnung,1320,,,,2,,nachVereinbarung,,,,,,NaN,3013 Bern BE,20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22992693,Wohnung,1310,1140,170,48,2,1.Stock,01.05.2020,,,,,,NaN,"Murtenstrasse 143 B, 3008 Bern",20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22992349,Studio,1,,,,1,,nachVereinbarung,,,,,,NaN,3013 Bern BE,20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22990698,Wohnung,1620,1450,170,75,3,,01.05.2020,1,,,270m,230m,4,"Tellplatz 1, 3014 Bern",,bern,26.02.2020,,1942,,,1,,530m,430m,,,,,,,,1,,,,,,,,
22989570,Wohnung,1530,,,62,2,,sofort,,,,,,NaN,"Grünerweg 5, 3013 Bern",20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22988325,Wohnung,1320,1070,250,71,3,2.Stock,01.06.2020,,1,,100m,50m,5,"Effingerstr. 107, 3008 Bern",,bern,26.02.2020,,1948,,,,,,120m,,,,,,,,,,,,,,,,
22989566,Wohnung,1200,1050,150,38,1.5,,,1,,,20m,30m,NaN,"Zieglerstrasse 37, 3007 Bern",20.02.2020,bern,26.02.2020,,,,,,,,,,200m,,,,,,,,,,,,,,
22988936,Wohnung,1700,1450,250,72,3.5,3.Stock,sofort,1,1,,490m,260m,4,"Randweg 11, 3013 Bern",,bern,26.02.2020,85,1971,,,1,,230m,290m,250m,2000m,1,,,,,,,,,,,,,
22990583,Wohnung,1350,,,60,3,,nachVereinbarung,,,,,,NaN,"Baumgartenstrasse 15, 3018 Bern",20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22990662,Wohnung,1500,1300,200,,3,3.Stock,01.05.2020,1,1,,200m,470m,NaN,"Brunnmattstrasse 71, 3007 Bern",,bern,26.02.2020,,,,,1,,380m,190m,,,,,,,,,,,,,,,,
22989564,Wohnung,1420,,,,2.5,,sofort,,,,,,NaN,"Mülinenstrasse, 3006 Bern",20.02.2020,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
