,Objektart,MietpreisproMonat,MietpreisproMonat(exkl.NK),Nebenkosten,Wohnfläche,Zimmer,Geschoss,Verfügbarab,Balkon(e),Lift,AltesGebäude,ÖV-Haltestelle,Einkaufsmöglichkeit,rating,adress,publication_date,city,DateofScrapping,Nutzfläche,Baujahr,Aussenparkplatz,Haustiereerlaubt,Kabel-TV,Kinderfreundlich,Kindergarten,Primarschule,Sekundarschule,Autobahn,Einstellplatz,Rollstuhlgängig,Minergie-zertifiziert,Cheminée,Kubatur,Hochparterre,Neubau,Wohnungen,Wasseranschluss,Toiletten,Mittelhaus,Möbliert,JährlicherMietpreisprom²,JährlicherMietpreisprom²(exkl.NK)
22353841,Wohnung,1470,1340,130,51,2.5,5.Stock,sofort,,,,,,NaN,"Mühledorfstrasse 2A, 3018 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22848026,Wohnung,1350,1150,200,,2.5,2.Stock,sofort,1,1,,,500m,NaN,"Bahnhöheweg 36, 3018 Bern",,bern,26.02.2020,,,1,,1,,,,,,1,,,,,,,,,,,,,
22328581,Wohnung,1535,1300,235,61,3,7.Stock,sofort,,,,200m,50m,3,"Obermattstr. 16, 3018 Bern",01.11.2019,bern,26.02.2020,,1970,,1,1,1,500m,269m,3000m,3000m,,,,,,,,,,,,,,
22334029,Wohnung,1870,1610,260,71,2.5,1.Stock,sofort,1,1,,,,NaN,"Le-Corbusier-Platz 10, 3027 Bern",01.11.2019,bern,26.02.2020,,,,,1,1,,,,,,,,,,,,,,,,,,
22328369,Wohnung,1550,1290,260,,3.5,2.Stock,sofort,1,,,,,NaN,"Mädergutstrasse 79, 3018 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22578963,Wohnung,600,,,,1,,nachVereinbarung,,,,,,NaN,3007 Bern BE,06.11.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22346226,Wohnung,2710,2400,310,130,4.5,2.Stock,nachVereinbarung,1,,,,,4,"Muristrasse 59, 3006 Bern",,bern,26.02.2020,,1935,,1,1,,,,,,,,,,,,,,,,,,,
22722696,Wohnung,1510,1290,220,75,3,5.Stock,sofort,,1,1,100m,100m,NaN,"Ostring 14, 3006 Bern",,bern,26.02.2020,,,,1,,1,100m,200m,,250m,,,,,,,,,,,,,,
22610220,Wohnung,1490,1310,180,55,2.5,3.Stock,nachVereinbarung,1,1,,200m,400m,4,"Riedbachstrasse 77, 3027 Bern",04.11.2019,bern,26.02.2020,,2017,1,,1,,750m,750m,,600m,1,1,,,,,1,,,,,,,
22326622,Wohnung,1550,1290,260,,3.5,2.Stock,,,,,,,NaN,3018 Bern,01.11.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22328345,Wohnung,1780,1470,310,92,4.5,5.Stock,01.05.2020,1,1,,,,NaN,"Holenackerstrasse 11, 3027 Bern",01.11.2019,bern,26.02.2020,,,,1,1,1,,,,,,,,,,,,,,,,,,
22107205,Wohnung,1700,,,60,3,2.Stock,,,,,,,NaN,3006 Bern,31.10.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22301091,Wohnung,1675,1425,250,74,3.5,EG,nachVereinbarung,1,1,,130m,75m,4,"Giacomettistrasse 27, 27b, 3006 Bern",28.10.2019,bern,26.02.2020,,1956,,1,1,,950m,1000m,700m,,1,,,,,,,,,,,,,
22961200,Wohnung,1700,1500,200,,2.5,4.Stock,01.05.2020,1,,,,,NaN,"Attinghausenstrasse 11, 3014 Bern",01.11.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22325244,Attika,2445,2180,265,102,4.5,4.Stock,nachVereinbarung,,,,500m,,3,"Hüsliackerstrasse 15, 3018 Bern",,bern,26.02.2020,,2009,,,,,,,,500m,,,,,,,,,,,,,,
22304574,Wohnung,1210,990,220,,2.5,4.Stock,sofort,1,,,,,NaN,"Looslistrasse 54, 3027 Bern",29.10.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22716579,Wohnung,1400,1200,200,61,2.5,1.Stock,sofort,1,,,270m,550m,NaN,"Wangenstrasse 43c, 3018 Bern",,bern,26.02.2020,,,,,,,1340m,930m,,,1,,,,,,,,,,,,,
22325850,Dachwohnung,1990,1710,280,90,3,,sofort,,1,,,,NaN,"Nydeggstalden 10, 3011 Bern",15.01.2020,bern,26.02.2020,,,1,,,,,,,,,,,,,,,,,,,,,
22974344,Dachwohnung,2800,2500,300,88,3.5,2.Stock,sofort,1,,,240m,220m,2,"Breitfeldstrasse 41, 3014 Bern",,bern,26.02.2020,,2019,,,,,400m,290m,,,,,,,,,1,,,,,,,
22535293,Dachwohnung,2690,2450,240,115,4,3.Stock,nachVereinbarung,,,1,,,NaN,"Rathausgasse 48, 3011 Bern",25.10.2019,bern,26.02.2020,,1470,,,1,,,,,,,,,1,,,,,,,,,,
22325049,Wohnung,1700,1500,200,,2.5,4.Stock,,,,,,,NaN,3014 Bern,15.10.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22245660,Maisonette,2870,2650,220,133,2.5,,01.04.2020,,,,,,NaN,"Länggassstrasse 10, 3012 Bern",18.10.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22813817,Wohnung,2180,1910,270,,4,3.Stock,sofort,1,1,,,,NaN,"Buristrasse 18, 3006 Bern",,bern,26.02.2020,,,,1,1,1,,,,,1,,,,,,,,,,,,,
22278582,Wohnung,2208,1958,250,85,3.5,2.Stock,sofort,1,1,,100m,500m,4,"Rüfenachtweg 6, 3006 Bern",,bern,26.02.2020,,2014,,,,1,,,,500m,1,,1,,,,,,,,,,,
22223188,Maisonette,3215,2915,300,110,4.5,,sofort,1,,,,,NaN,"Bitziusstrasse 51, 3006 Bern",,bern,26.02.2020,,,1,,,,,,,,,,,,,,,,,,,,,
22174564,Dachwohnung,2870,2570,300,,5.5,2.Stock,sofort,,,,100m,100m,NaN,"Mülinenstrasse, 3006 Bern",,bern,26.02.2020,,,,,1,,,,,,,1,,1,,,,,,,,,,
22716587,Wohnung,1400,1200,200,61,2.5,1.Stock,sofort,1,,,290m,570m,NaN,"Wangenstrasse 41b, 3018 Bern",,bern,26.02.2020,,,,,,,1000m,960m,,,1,,,,,,,,,,,,,
22289612,Wohnung,1590,1390,200,57,2,5.Stock,sofort,,,,,,NaN,"Winkelriedstrasse 48, 3014 Bern",26.10.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22282206,Wohnung,2595,2395,200,70,,3.Stock,,,,,,,NaN,3011 Bern,25.10.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22165824,Wohnung,2260,1900,360,105,4.5,13.Stock,sofort,1,1,,,,NaN,"Bahnstrasse 99 Miete, 3008 Bern BE",07.10.2019,bern,26.02.2020,,,,1,1,1,,,,,,,,,,,,,,,,,,
22113363,Wohnung,3850,3500,350,180,5.5,,sofort,,1,,200m,100m,3,"Morellweg 6, 3007 Bern",27.09.2019,bern,26.02.2020,,1906,,,,,,,,,,,,,,,,,,,,,,
22162875,Wohnung,3200,,,120,4.5,,sofort,,,,,,NaN,"Amselweg 19, 3012 Bern",06.10.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22174663,Wohnung,1360,1140,220,58,2,1.Stock,nachVereinbarung,1,,1,30m,50m,4,"Ostring 77, 3006 Bern",08.10.2019,bern,26.02.2020,,1945,,1,1,,650m,500m,500m,,,,,,,,,,,,,,,
22704023,Dachwohnung,270,,,,1,,nachVereinbarung,,,,,,NaN,3012 Bern BE,27.09.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
23024429,Wohnung,1990,,,80,2.5,,01.05.2020,,,,,,NaN,"Funkerstrasse 25, 3013 Bern",03.10.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22166496,Wohnung,2260,1900,360,105,4.5,13.Stock,sofort,1,1,,,,NaN,"Bahnstrasse 99 Miete, 3008 Bern",07.10.2019,bern,26.02.2020,,,,1,1,1,,,,,,,,,,,,,,,,,,
22102056,Loft,3000,2600,400,178,2,2.Stock,sofort,1,1,,350m,630m,NaN,"Winterholzstrasse 55, 3018 Bern",,bern,26.02.2020,194,,,1,1,,460m,340m,,1800m,1,1,,,,,1,,,,,,,
22169278,Wohnung,1975,1630,345,89,4.5,9.Stock,nachVereinbarung,,,,200m,50m,3,"Obermattstr. 16, 3018 Bern",07.10.2019,bern,26.02.2020,,1970,,1,1,1,500m,269m,3000m,3000m,,,,,,,,,,,,,,
22282746,Wohnung,2950,2650,300,103,4,2.Stock,sofort,1,1,1,100m,100m,NaN,"Waaghausgasse 5, 3011 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,,,,,,,,,
22075997,Wohnung,1210,980,230,,2.5,4.Stock,01.03.2020,,,,,,NaN,"Looslistrasse 50, 3027 Bern",23.09.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22690489,Wohnung,2040,1900,140,,2,2.Stock,sofort,1,,1,190m,3270m,NaN,"Kramgasse 39, 3011 Bern",,bern,26.02.2020,,1700,,,,,3840m,,,,,,,,,,,,,,,,,
22434945,Wohnung,1730,1350,380,,2.5,,nachVereinbarung,1,,1,20m,650m,NaN,"Ostring 36/ 38, 3006 Bern",,bern,26.02.2020,,,,,1,1,840m,840m,,40m,,,,,,,,,,,,,,
22051276,Wohnung,2340,2010,330,117,1,EG,sofort,,1,,,,NaN,"Hardeggerstrasse 12, 3008 Bern",,bern,26.02.2020,,,,,,,,,,,,1,,,,,,,,,,,,
22938265,Studio,855,830,25,17,1,2.Stock,01.04.2020,,,1,250m,500m,NaN,"Rathausgasse 45, 3011 Bern",,bern,26.02.2020,,,,1,,,500m,500m,500m,,,,,,,,,,,,,,,
22839517,Wohnung,2400,,,100,4.5,,sofort,,,,,,NaN,"Billeweg 8, 3027 Bern",23.09.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22093542,Wohnung,1645,1380,265,69,3.5,2.Stock,sofort,1,1,,,,4,"Obere Zollgasse 92, 3006 Bern",25.09.2019,bern,26.02.2020,,1973,,,,,,,,,,,,,,,,,,,,,,
22091417,Wohnung,1645,1380,265,69,3.5,2.Stock,,,,,,,NaN,3006 Bern,25.09.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22048431,Wohnung,2340,2010,330,117,1,,,,,,,,NaN,3008 Bern,18.09.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22075998,Wohnung,1290,1060,230,,3.5,1.Stock,sofort,,,,,,NaN,"Looslistrasse 50, 3027 Bern",23.09.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
21831302,Wohnung,1960,1780,180,70,2.5,,01.04.2020,1,1,,300m,300m,4,"Weltpoststrasse 1A, 3015 Bern",15.08.2019,bern,26.02.2020,,2020,,1,,,600m,700m,700m,1000m,1,1,1,,,1,1,,,,,,,
22021641,Wohnung,2000,1720,280,89,4.5,13.Stock,nachVereinbarung,,,,200m,50m,3,"Obermattstr. 16, 3018 Bern",13.09.2019,bern,26.02.2020,,1970,,1,1,1,500m,269m,3000m,3000m,,,,,,,,,,,,,,
20460607,Maisonette,2990,2760,230,130,4.5,4.Stock,nachVereinbarung,,,,,,3,"Lorrainestrasse 8a, 3013 Bern",11.09.2019,bern,26.02.2020,,1895,,,,,,,,,,,,,,,,,,,,,,
22716594,Wohnung,1430,1230,200,62,2.5,1.Stock,sofort,1,,,100m,380m,NaN,"Wangenstrasse 49, 3018 Bern",,bern,26.02.2020,,,,,,,1180m,770m,,500m,1,,,,,,,,,,,,,
22925669,Wohnung,1530,1350,180,71,3,1.Stock,16.05.2020,1,,,30m,100m,NaN,"Laubeggstrasse 139, 3006 Bern",,bern,26.02.2020,,,,,,,950m,950m,,,,,,,,,,,,,,,,
21822678,Wohnung,4450,4180,270,123,4.5,5.Stock,01.04.2020,1,1,,300m,300m,NaN,"Weltpoststrasse 1, 3015 Bern",14.08.2019,bern,26.02.2020,,2020,,1,,,600m,700m,700m,1000m,1,1,1,,,,1,,,,,,,
20823056,Dachwohnung,1945,1750,195,75,3,,sofort,,,,,,NaN,"Brunngasse 50, 3011 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22234055,Wohnung,1490,1310,180,,3,,sofort,1,,,100m,100m,NaN,"Laubeggstrasse 139, 3006 Bern",,bern,26.02.2020,,,,,1,,,,,,,,,,,1,,,,,,,,
21822676,Wohnung,3890,3520,370,147,5.5,,01.04.2020,1,1,,300m,300m,4,"Weltpoststrasse 1B, 3015 Bern",14.08.2019,bern,26.02.2020,,2020,,1,,1,600m,700m,700m,1000m,1,1,1,,,1,1,,,,,,,
21988062,Dachwohnung,2400,1980,420,65,2,4.Stock,sofort,,1,,300m,50m,NaN,"Zeughausgasse 27, Wohnungen, 3011 Bern",09.09.2019,bern,26.02.2020,,1927,,,1,,1000m,2800m,2800m,,,,,,,,,,,,,,,
22965465,Dachwohnung,250,220,30,,1,4.Stock,01.05.2020,,,1,1m,100m,NaN,"Morillonstrasse 6, 3007 Bern",13.08.2019,bern,26.02.2020,,1932,,,,,250m,250m,250m,,,,,,,,,,,,,,,
21728072,Wohnung,2480,2080,400,116,3.5,1.Stock,sofort,1,1,,,,NaN,"Le-Corbusier-Platz 12, 3027 Bern",29.07.2019,bern,26.02.2020,,,,,1,1,,,,,,,,,,,,,,,,,,
21822674,Wohnung,2930,2660,270,105,4.5,1.Stock,01.04.2020,1,1,,300m,300m,4,"Weltpoststrasse 1A, 3015 Bern",14.08.2019,bern,26.02.2020,,2020,,1,,1,600m,700m,700m,1000m,1,1,1,,,,1,,,,,,,
21786260,Wohnung,1760,1550,210,,3,,sofort,1,,,,,NaN,"Heckenweg 41, 3007 Bern",08.08.2019,bern,26.02.2020,,1960,,,,,,,,,,,,,,,,,,,,,,
22984740,Wohnung,2540,2290,250,68,2.5,1.Stock,sofort,1,,,,,NaN,"Weststrasse 26, 3005 Bern",,bern,26.02.2020,75,1995,,,,,,,,,,,,,,,,,,,,,,
21480256,Wohnung,1804,1524,280,90,3,3.Stock,nachVereinbarung,,,,,,NaN,"Bolligenstrasse 46 A, 3006 Bern",20.06.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
22716595,Wohnung,1420,1250,170,53,2.5,2.Stock,sofort,1,,,150m,140m,3,"Wylerfeldstrasse 38, 3014 Bern",,bern,26.02.2020,,1946,,,,,130m,240m,,,,,,,,,,,,,,,,
21288148,Wohnung,2750,2500,250,85,2.5,4.Stock,sofort,,,,,,NaN,"Rathausgasse 68, 3011 Bern",02.07.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
21805866,Wohnung,1810,1640,170,64,2.5,,sofort,1,1,,300m,300m,4,"Weltpoststrasse 3A, 3015 Bern",12.08.2019,bern,26.02.2020,,2019,,1,,,600m,700m,700m,1000m,1,1,1,,,1,1,,,,,,,
21717612,Wohnung,1310,1130,180,41,2,,sofort,1,,,,,NaN,"Bethlehemstrasse 128, 3018 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
21373623,Loft,2190,1950,240,98,2,Untergeschoss,nachVereinbarung,,,,,,NaN,"Mühlemattstrasse 55, 3007 Bern",,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
21867110,Wohnung,1925,1600,325,87,3.5,1.Stock,sofort,1,1,,,,4,3027 Bern BE,13.03.2019,bern,26.02.2020,,2008,1,1,1,,,,,,,1,,,,,,,,,,,,
22174563,Wohnung,1450,1290,160,,2.5,2.Stock,sofort,1,,,100m,100m,NaN,"Zelgstrasse 29, 3027 Bern",14.03.2019,bern,26.02.2020,,,,,,,,,,500m,,,,,,,,,,,,,,
22919634,Wohnung,2750,2450,300,144,1,EG,nachVereinbarung,1,1,,,,NaN,"Winterholzstrasse 57, 3018 Bern",03.05.2019,bern,26.02.2020,,,1,,1,,,,,,,1,,,,,,,,,,,,
22749461,Wohnung,2490,2190,300,,4,3.Stock,sofort,,1,,50m,50m,NaN,"Aegertenstrasse 53, 3005 Bern",,bern,26.02.2020,,,,,,,,,,2000m,,,,,,,,,,,,,,
21480203,Wohnung,1804,1524,280,90,3,3.Stock,,,,,,,NaN,3006 Bern,20.06.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
21056128,Wohnung,1150,,,,1,2.Stock,nachVereinbarung,1,,,,,NaN,3013 Bern BE,26.04.2019,bern,26.02.2020,,,1,,1,,,,,,,,,,,,,,,,,,,
21202121,Wohnung,1790,1510,280,89,3,3.Stock,sofort,,,,,,4,"Bolligenstr. 30b, 3006 Bern",16.01.2020,bern,26.02.2020,,1981,,1,,1,,,,,,,,,,,,,,,,,,
21161839,Loft,2800,2500,300,144,1,EG,sofort,1,1,,1940m,6740m,NaN,"Winterholzstrasse 57, 3018 Bern",,bern,26.02.2020,186,,,1,1,,490m,620m,,1800m,1,1,,,,,1,,,,,,,
20842281,Wohnung,1800,,,,2.5,,nachVereinbarung,,,,,,NaN,3011 Bern BE,16.03.2019,bern,26.02.2020,,,,,,,,,,,,,,,,,,,,,,,,
