,object_type,price,price_wo_extras,extras,size,rooms,floor,moovIn,balcony,lift,public_transport,shopping,rating,adress,publication_date,city,DateofScrapping,age,parking_out,pets_allowed,tv,kids_ok,KG,PS,SS,highway,parking_in
22981726,Wohnung,1820.0,1600.0,220.0,75.0,3.0,-1.0,01.06.2020,1.0,,220.0,700.0,,"Muristrasse 88, 3006 Bern",2020-02-19,bern,2020-02-26,,,,,,220.0,220.0,220.0,1000.0,
22976921,Dachwohnung,1165.0,965.0,200.0,53.0,2.0,3.0,01.05.2020,,,240.0,900.0,,"Biderstrasse 23, 3006 Bern",2020-02-18,bern,2020-02-26,,,,1.0,,350.0,,,1500.0,
22978084,Wohnung,1380.0,1100.0,280.0,58.0,3.0,0.0,sofort,1.0,1.0,170.0,300.0,4.0,"Waldmannstrasse 10, 3027 Bern",2020-02-18,bern,2020-02-26,1964,,,,,1000.0,700.0,,,
22978104,Wohnung,1840.0,1600.0,240.0,88.0,3.5,0.0,sofort,1.0,1.0,570.0,150.0,,"Jupiterstrasse 49a, 3015 Bern",,bern,2020-02-26,,,,,1.0,470.0,,,,1.0
22977163,Wohnung,1630.0,1490.0,140.0,55.0,2.5,10.0,01.08.2020,1.0,1.0,100.0,450.0,4.0,"Hilfikerstrasse 4, 3014 Bern",,bern,2020-02-26,2020,,,,,2510.0,1670.0,,,1.0
22976434,Wohnung,920.0,,,23.0,1.0,,01.04.2020,,,,,,"Thunstrasse 103, 3006 Bern",2020-02-18,bern,2020-02-26,,,,,,,,,,
22976247,Dachwohnung,690.0,,,100.0,4.5,,nachVereinbarung,,,,,,"Seftigenstrasse 47, 3007 Bern",2020-02-18,bern,2020-02-26,,,,,,,,,,
22989567,Wohnung,1250.0,,,,2.5,,sofort,,,,,,"Morillonstrasse, 3007 Bern",2020-02-18,bern,2020-02-26,,,,,,,,,,
23015857,Wohnung,1400.0,,,,3.5,,nachVereinbarung,,,,,,3007 Bern BE,2020-02-18,bern,2020-02-26,,,,,,,,,,
22977159,Wohnung,1570.0,1370.0,200.0,,2.5,2.0,01.04.2020,1.0,,230.0,260.0,,"Rodtmattstrasse 51, 3014 Bern",,bern,2020-02-26,,,1.0,1.0,,550.0,690.0,,,
22973983,Dachwohnung,2000.0,1675.0,325.0,90.0,4.0,4.0,01.04.2020,,1.0,220.0,650.0,,"Optingenstrasse 4, 3013 Bern",2020-02-18,bern,2020-02-26,,,,1.0,,600.0,450.0,450.0,3000.0,1.0
22972391,Dachwohnung,1380.0,,,,3.0,,nachVereinbarung,,,,,,3006 Bern BE,2020-02-18,bern,2020-02-26,,,,,,,,,,
